Aluno,Desafio6,Desafio7,Desafio8,Desafio9,Desafio10,Desafio11,SuperDesafio
913,44,0,0,0,0,89,700
141,108,100,80,100,58,173,700
571,0,0,0,0,0,0,700
960,25,100,100,100,58,100,700
421,145,100,100,100,100,138,700
809,172,100,100,100,100,116,700
825,87,100,100,100,100,142,700
434,116,100,80,100,58,0,700
697,0,0,0,0,0,132,700
966,163,100,0,100,0,92,700
921,0,0,0,0,0,0,700
589,182,100,60,100,46,80,700
551,158,100,60,100,46,110,700
633,82,100,40,100,0,80,700
628,24,100,80,100,46,44,700
697,137,100,100,100,100,125,700
125,50,100,70,100,70,160,700
582,22,100,100,100,100,128,700
370,150,100,100,100,0,107,700
923,0,0,100,0,100,120,700
660,145,100,100,100,100,125,700
626,53,100,0,0,0,69,700
822,0,0,0,0,0,0,700
934,80,100,80,30,0,13,700
161,108,100,80,100,58,160,700
153,133,100,60,100,0,80,700
961,40,0,0,100,0,67,700
378,128,100,0,0,0,0,700
881,94,100,0,60,70,133,700
