ID,1.Timeline,2.Histograma,3.Barras empilhadas,4.Boxplot,5.Dispersão,6.Multivariadas,7.Temp_Artigo,8.Choropleth,43747.Cartograma,HO 11/abr.WordCloud,11.Corpora,12.Treemap,13.Sunburst,14.Chord / Sankey,15a.Cmap,15b.Cmap*,16a.Lattice,16b.Lattice*,17.Petri /Bayes
69,10,10,10,10,10,10,10,10,9,9,7,10,10,9,7,7,10,9,10
50,10,10,10,10,10,10,0,7,4,10,10,8,8,7,10,10,4,0,10
33,10,6,10,9,9,9,4,10,10,9,9,10,10,9,10,10,10,9,8
84,10,6,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,9,10
81,10,4,4,4,4,4,4,9,4,0,4,5,0,4,10,10,10,9,4
68,10,4,8,4,4,8,10,4,4,9,9,10,7,10,10,10,10,4,6
01,0,9,10,10,6,7,6,9,7,10,9,4,4,0,10,8,10,9,0
25,10,10,8,10,6,4,0,7,6,0,10,9,9,10,10,10,0,4,4
98,0,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,0,9,8
54,10,6,6,8,8,0,0,7,0,0,9,10,9,10,10,10,10,9,5
56,0,10,4,10,4,7,5,6,5,8,4,7,7,6,10,5,10,4,4
61,0,0,0,0,3,0,0,3,0,0,0,5,0,0,0,3,0,0,0
90,10,10,10,10,10,10,10,10,10,10,10,8,10,7,10,10,9,10,10
